PLAYER NAME,AVG_BLK KICK,AVG_DEF TD,AVG_FAN PTS,AVG_FUMR,AVG_INT,AVG_PTS VS.,AVG_RET TD,AVG_SACK,AVG_SAFE,BLK KICK,DEF TD,FAN PTS,FUMR,INT,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PTS VS.,RET TD,SACK,SAFE,TEAM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS
San Francisco 49ers,0.0,0.1,8.2,0.5,1.0,0.0,0.0,2.2,0.0,0,3,163,10,20,1.8,1.0,1.0,1.1,1.0,6.0,0,0,44,0,SF,11,17,8
Dallas Cowboys,0.0,0.2,8.9,0.9,0.8,0.0,0.0,2.8,0.0,0,3,170,17,16,2.6,1.0,2.0,1.5,1.0,10.0,0,0,54,0,DAL,28,25,23
Philadelphia Eagles,0.0,0.1,7.9,0.5,0.9,0.0,0.0,3.7,0.0,0,2,151,10,17,3.0,1.0,3.0,1.6,1.0,8.0,0,0,70,0,PHI,21,14,15
Buffalo Bills,0.0,0.1,8.0,0.5,0.9,0.0,0.0,2.1,0.1,0,1,152,10,17,4.9,2.0,4.0,2.1,2.0,13.0,0,0,40,2,BUF,19,19,12
New York Jets,0.0,0.0,6.9,0.2,0.7,0.0,0.0,2.6,0.1,0,0,118,4,12,6.0,1.0,5.0,2.8,2.0,15.0,0,0,45,2,NYJ,18,22,9
New England Patriots,0.0,0.4,10.9,0.6,1.1,0.0,0.0,3.2,0.0,0,7,186,11,19,6.0,2.0,6.0,2.7,2.0,19.0,0,0,54,0,NE,3,4,20
Baltimore Ravens,0.0,0.0,7.4,0.6,0.8,0.0,0.0,2.7,0.0,0,0,134,11,14,8.1,4.0,7.0,2.6,2.0,16.0,0,0,48,0,BAL,12,2,31
Kansas City Chiefs,0.0,0.1,6.4,0.5,0.6,0.0,0.0,2.9,0.1,0,2,121,9,11,10.5,5.0,8.0,2.5,3.0,17.0,0,0,55,1,KC,6,12,11
Denver Broncos,0.0,0.0,6.0,0.5,0.9,0.0,0.0,2.1,0.1,0,0,102,8,15,10.1,4.0,9.0,4.6,3.0,24.0,0,0,36,1,DEN,24,13,24
Pittsburgh Steelers,0.0,0.1,6.3,0.2,1.2,0.0,0.0,2.4,0.0,0,1,107,3,20,11.1,5.0,10.0,3.4,3.0,22.0,0,0,40,0,PIT,2,16,4
New Orleans Saints,0.0,0.1,6.8,0.4,0.4,0.0,0.0,2.8,0.0,0,1,115,7,7,11.4,5.0,11.0,3.4,3.0,24.0,0,0,48,0,NO,29,18,28
Miami Dolphins,0.0,0.1,5.9,0.3,0.4,0.0,0.0,2.2,0.1,0,2,107,6,8,12.7,5.0,12.0,3.6,3.0,22.0,0,0,40,1,MIA,20,15,16
Cincinnati Bengals,0.0,0.1,5.8,0.6,0.7,0.0,0.0,1.5,0.0,0,1,115,11,13,14.0,8.0,13.0,4.1,3.0,31.0,0,0,30,0,CIN,22,10,26
Cleveland Browns,0.0,0.2,6.3,0.5,0.6,0.0,0.0,2.0,0.0,0,3,107,9,11,14.4,7.0,14.0,3.3,4.0,20.0,0,0,34,0,CLE,1,7,1
Washington Commanders,0.0,0.2,6.9,0.5,0.5,0.0,0.0,2.5,0.1,0,3,117,9,9,14.8,6.0,15.0,4.3,4.0,25.0,0,0,43,1,WAS,7,9,10
Green Bay Packers,0.0,0.1,6.9,0.4,1.0,0.0,0.0,2.0,0.1,0,2,117,7,17,16.8,4.0,16.0,4.0,4.0,23.0,0,0,34,1,GB,26,26,14
Los Angeles Chargers,0.0,0.1,5.9,0.6,0.8,0.0,0.0,2.2,0.1,0,1,106,10,14,16.8,7.0,17.0,3.4,4.0,26.0,0,0,40,1,LAC,5,5,21
Tampa Bay Buccaneers,0.0,0.1,5.7,0.6,0.6,0.0,0.0,2.4,0.0,0,1,103,10,10,17.0,9.0,18.0,4.8,4.0,30.0,0,0,44,0,TB,30,20,29
Jacksonville Jaguars,0.0,0.2,7.3,0.7,0.7,0.0,0.0,1.8,0.0,0,4,139,13,14,17.6,6.0,19.0,4.8,4.0,25.0,0,0,35,0,JAC,14,3,27
Indianapolis Colts,0.0,0.1,6.8,0.6,0.6,0.0,0.0,2.6,0.0,0,2,116,11,10,20.2,1.0,20.0,3.6,4.0,28.0,0,0,44,0,IND,23,24,18
Seattle Seahawks,0.0,0.1,6.5,0.6,0.8,0.0,0.0,2.5,0.0,0,1,117,11,14,20.1,9.0,21.0,4.9,4.0,27.0,0,0,45,0,SEA,27,28,19
Carolina Panthers,0.0,0.2,6.9,0.4,0.6,0.0,0.0,2.1,0.0,0,3,118,7,10,21.7,7.0,22.0,3.7,5.0,28.0,0,0,35,0,CAR,25,1,32
New York Giants,0.0,0.1,5.6,0.7,0.3,0.0,0.0,2.2,0.0,0,2,107,13,6,22.8,12.0,23.0,3.5,5.0,29.0,0,0,41,0,NYG,4,6,13
Tennessee Titans,0.0,0.1,6.1,0.4,0.8,0.0,0.0,2.3,0.0,0,1,104,6,14,23.1,11.0,24.0,4.0,5.0,31.0,0,0,39,0,TEN,15,21,6
Detroit Lions,0.0,0.1,5.8,0.6,0.7,0.0,0.0,2.3,0.1,0,1,98,10,12,23.5,13.0,25.0,3.7,5.0,31.0,0,0,39,1,DET,16,29,5
Los Angeles Rams,0.0,0.1,6.1,0.4,0.9,0.0,0.0,2.2,0.0,0,1,104,6,16,23.8,17.0,26.0,4.3,5.0,32.0,0,0,38,0,LAR,17,8,22
Minnesota Vikings,0.0,0.1,5.9,0.6,0.8,0.0,0.0,2.1,0.0,0,1,106,10,15,26.6,11.0,27.0,3.0,5.0,32.0,0,0,38,0,MIN,32,30,30
Atlanta Falcons,0.0,0.1,5.2,0.4,0.6,0.0,0.0,1.2,0.1,0,1,89,7,10,27.4,17.0,28.0,3.3,5.0,32.0,0,0,21,1,ATL,9,31,2
Arizona Cardinals,0.0,0.3,6.1,0.5,0.6,0.0,0.0,2.1,0.0,0,5,103,9,11,28.7,14.0,29.0,2.9,5.0,32.0,0,0,36,0,ARI,8,11,17
Chicago Bears,0.0,0.0,3.6,0.5,0.8,0.0,0.0,1.2,0.0,0,0,62,9,14,28.9,18.0,30.0,2.5,5.0,32.0,0,0,20,0,CHI,31,32,25
Houston Texans,0.0,0.1,6.8,0.6,0.9,0.0,0.0,2.3,0.1,0,1,116,11,16,28.8,21.0,31.0,2.6,5.0,32.0,0,0,39,1,HOU,10,27,3
Las Vegas Raiders,0.0,0.2,4.5,0.4,0.4,0.0,0.0,1.6,0.0,0,3,77,7,6,30.9,27.0,32.0,1.4,5.0,32.0,0,0,27,0,LV,13,23,7
